Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Thailand,THA,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,,,,18.03598976,20.42046928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.14144135,88.83602142,90.66838074,94.64189148,93.90145874,97.45111084,78.33088684,,81.45510101,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,,,,15.5060997,17.53630066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.68781281,90.75151062,95.00917053,95.20812988,94.84020233,98.77452087,79.30490112,,82.70802307,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, lower secondary, gender parity index (GPI)",UIS.NERA.2.GPI,,,,0.754630029,0.753300011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.103989959,1.043259978,1.098739982,1.011849999,1.019880056,1.027109981,1.024770021,,1.030689955,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,,,,20.54796982,23.27920914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.76878357,86.98816681,86.47120667,94.09348297,92.99143219,96.16777802,77.3883667,,80.24558258,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1102066,94.51560211,95.06855011,96.34033966,,,,,92.3923111,90.81250763,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.30162048,93.55013275,94.03211212,95.68903351,,,,,91.95246124,87.4597702,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,,,,0.905589998,0.917100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983349979,0.980229974,0.978900015,0.986859977,,,,,0.990740001,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.88114929,95.43730164,96.05905914,96.96334839,,,,,92.81214905,94.00811768,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, upper secondary, gender parity index (GPI)",UIS.NERA.3.GPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,,,,91.69824219,87.13778687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.67939758,82.18934631,82.71852875,91.74729919,,,,,74.44567108,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,,,,93.10865021,86.45881653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.59308624,81.97162628,82.44171906,90.90863037,,,,,74.19593048,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)",UIS.NIRA.1.GPI,,,,1.030730009,0.984780014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997940004,0.99484998,0.993489981,0.982309997,,,,,0.993489981,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,,,,90.33239746,87.79483795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.76127625,82.39617157,82.98181152,92.54580688,,,,,74.68244934,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,,,,,,,,,,,67.68885803,,,,,,,,,,,,,,,,,,,,66.00407,,,,,66.79778,,,,,51.08651,,,63.02657,,63.30817,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,,,,,,,,,,,3404714,,,,,,,,,,,,,,,,,,,,3497494,,,,,3322185,,,,,1923368,,,3464737,,3978173,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,,,,,,,,,,,2304612,,,,,,,,,,,,,,,,,,,,2308488,,,,,2219146,,,,,982582,,,2183705,,2518509,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,,,,,,,,,,,1100102,,,,,,,,,,,,,,,,,,,,1189006,,,,,1103039,,,,,940787,,,1281032,,1459665,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,87.98175812,,,,,,,,,,,,,,,,,,,,92.64654,,,,,93.50647,,,,,96.43091,,,93.70207,,92.86831,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,83.89334869,,,,,,,,,,,,,,,,,,,,90.51602,,,,,91.52957,,,,,96.42705,,,92.24916,,91.19193,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Adult literacy rate, population 15+ years, gender parity index (GPI)",UIS.LR.AG15T99.GPI,,,,,,,,,,,0.909780025,,,,,,,,,,,,,,,,,,,,0.95379,,,,,0.95742,,,,,0.99992,,,0.96848,,0.96337,,,,,,,,,,,,,,,,,,,
